,train,val,test
0,D1103-2020-11-16_15.55.08,D1176-2021-02-22_21.09.08,D1167-2021-02-22_19.58.39
1,D1104-2020-11-16_15.47.32,D1177-2021-02-22_21.18.36,D1168-2021-02-22_20.06.31
2,D1105-2020-11-16_15.39.45,D1178-2021-02-22_21.27.26,D1169-2021-02-22_20.15.22
3,D1966-2021-02-17_15.29.58,D1179-2021-02-22_21.35.05,D1170-2021-02-22_20.25.00
4,D1967-2021-02-17_15.37.53,D1106-2020-11-16_15.31.14,D1172-2nd
5,D1968-2021-02-17_15.45.46,D1107-2020-11-16_15.21.39,D1173-2021-02-22_20.42.55
6,D1969-2021-02-18_10.19.55,D1108-2020-11-16_15.13.41,D1174-2021-02-22_20.52.06
7,D1970-2021-02-18_10.28.24,D1109-2020-11-16_15.03.14,D2054-2021-02-22_14.23.55
8,D1971-2021-02-18_10.36.35,D1110-2020-11-16_14.54.45,D2055-2021-02-22_14.32.32
9,D1972-2021-02-18_10.44.37,D1111-2020-11-16_14.45.18,D2056-2021-02-22_14.42.14
10,D1021-2020-11-17_16.44.48,D1137-2020-11-20_10.37.49,D2057-2021-02-22_14.51.06
11,D1022-2020-11-17_16.34.38,D1138-2020-11-20_10.29.48,D2058-2021-02-22_14.59.33
12,D1023-2020-11-17_16.22.41,D1139-2020-11-20_10.17.03,D2059-2021-02-22_15.07.22
13,D1024-2020-11-17_16.13.46,D1140-2020-11-20_10.04.08,D2065-2021-02-22_15.49.31
14,D1025-2020-11-17_16.04.37,D1701-2021-03-18_00.16.20,D1434-2021-03-11_14.36.55
15,D1027-2020-11-17_15.47.54,D1702-2021-03-18_00.23.34,D1435-2021-03-11_14.46.13
16,D1028-2020-11-17_15.38.28,D1703-2021-03-18_00.31.19,D1436-2021-03-11_14.57.10
17,D1029-2020-11-17_15.30.08,D1704-2021-03-18_00.39.29,D1437-2021-03-11_15.07.20
18,D1030-2020-11-17_15.22.11,D1705-2021-03-18_00.47.09,D2042-2021-02-22_12.45.10
19,D1031-2020-11-17_15.13.41,D1706-2021-03-18_00.57.24,D2044-2021-02-22_13.02.02
20,D1032-2020-11-17_15.04.59,D1707-2021-03-18_01.04.42,D2045-2021-02-22_13.10.00
21,D1033-2020-11-17_14.57.15,D1708-2021-03-18_01.15.15,D2046-2021-02-22_13.18.39
22,D1034-2020-11-17_14.48.29,D1710-2021-03-18_01.32.36,D1438-2021-03-11_15.15.54
23,D1035-2020-11-17_14.40.02,D1720-2021-03-23_18.23.13,D1439-2021-03-11_15.25.27
24,D1036-2020-11-17_14.29.59,D1721-2021-03-23_18.30.15,D1440-2021-03-11_15.34.18
25,D1037-2020-11-17_14.22.18,D1722-2021-03-23_18.37.29,D1441-2021-03-11_15.41.47
26,D1038-2020-11-17_14.13.00,D1723-2021-03-23_18.45.47,D1442-2021-03-11_11.18.24
27,D1039-2020-11-17_14.03.12,D1724-2021-03-23_18.55.11,D1443-2021-03-11_15.50.23
28,D1040-2020-11-17_13.53.54,D1725-2021-03-23_18.59.30,D1444-2021-03-11_16.00.40
29,D1041-2020-11-17_13.42.54,D1726-2021-03-23_19.08.20,D1446-2021-03-11_16.18.13
30,D1973-2021-02-18_10.52.37,D1727-2021-03-23_19.18.24,D1454-2021-03-11_17.24.15
31,D1974-2021-02-18_11.00.51,D1728-2021-03-23_19.26.54,D1455-2021-03-11_17.33.02
32,D1976-2021-02-18_11.18.41,D1729-2021-03-23_19.36.04,D1456-2021-03-11_17.47.18
33,D1977-2021-02-18_11.28.07,D1730-2021-03-23_19.43.58,D1457-2021-03-11_17.56.46
34,D1978-2021-02-18_11.36.50,D1731-2021-03-23_19.51.19,D1458-2021-03-11_18.06.55
35,D1979-2021-02-18_11.44.42,D1794-2021-03-24_00.09.25,D1459-2021-03-11_18.15.48
36,D1980-2021-02-18_11.53.24,D1795-2021-03-24_00.16.44,D1462-2021-03-12_09.42.51
37,D1981-2021-02-18_12.01.31,D1796-2021-03-24_00.24.17,D1463-2021-03-12_09.52.46
38,D1982-2021-02-18_12.09.34,D1797-2021-03-24_00.32.55,D1464-2021-03-12_10.01.08
39,D1983-2021-02-18_12.19.11,D1798-2021-03-24_00.39.57,D1051-2020-11-17_12.15.32
40,D1984-2021-02-18_12.27.46,D1799-2021-03-24_00.48.30,D1052-2020-11-17_12.07.07
41,D1985-2021-02-18_12.37.56,D1800-2021-03-24_00.56.52,D1053-2020-11-17_11.58.45
42,D1986-2021-02-18_12.45.16,D1801-2021-03-24_01.03.51,D1054-2020-11-17_11.50.46
43,D1987-2021-02-18_12.53.21,D1802-2021-03-24_01.12.48,D1055-2020-11-17_11.41.54
44,D1988-2021-02-18_13.00.59,D1803-2021-03-24_01.21.21,D1056-2020-11-17_11.31.01
45,D1989-2021-02-18_13.08.13,D1804-2021-03-24_01.29.37,
46,D1990-2021-02-18_13.16.06,D1805-2021-03-24_01.35.23,
47,D1991-2021-02-18_13.24.41,D1806-2021-03-24_01.44.11,
48,D1992-2021-02-18_13.32.50,D1807-2021-03-24_01.52.19,
49,D2036-2021-02-18_21.29.05,D1808-2021-03-24_02.00.56,
50,D2037-2021-02-18_21.35.02,D1809-2021-03-24_02.07.40,
51,D2038-2021-02-18_21.44.20,D1810-2021-03-24_02.18.16,
52,D1128-2020-11-20_11.58.14,D1811-2021-03-24_02.26.14,
53,D1129-2020-11-20_11.48.24,D1812-2021-03-24_13.49.52,
54,D1130-2020-11-20_11.40.17,D1813-2021-03-24_13.59.54,
55,D1190-2021-02-22_23.08.12,D1814-2021-03-24_14.09.46,
56,D1191-2021-02-22_23.18.37,D1815-2021-03-24_14.22.57,
57,D1192-2nd,D1816-2021-03-24_14.32.36,
58,D1371-2021-03-10_17.30.28,D1817-2021-03-24_14.44.24,
59,D1372-2021-03-10_17.38.28,D1818-2021-03-24_14.53.34,
60,D1373-2021-03-10_17.49.36,D1819-2021-03-24_15.04.18,
61,D1374-2021-03-10_17.58.18,,
62,D1376-2021-03-10_18.16.58,,
63,D1377-2021-03-10_18.25.56,,
64,D1378-2021-03-10_18.33.41,,
65,D1379-2021-03-10_18.41.27,,
66,D1396-2021-03-10_20.57.56,,
67,D1397-2021-03-10_21.05.11,,
68,D1398-2021-03-10_21.16.21,,
69,D1399-2021-03-10_21.24.58,,
70,D1400-2021-03-10_21.36.27,,
71,D1401-2021-03-10_21.45.11,,
72,D1402-2021-03-10_21.54.00,,
73,D1403-2021-03-10_22.02.31,,
74,D1404-2021-03-10_22.10.25,,
75,D1405-2021-03-10_22.17.43,,
76,D1406-2021-03-10_22.25.26,,
77,D1689-2021-03-17_22.36.12,,
78,D1690-2021-03-17_22.44.49,,
79,D1691-2021-03-17_22.52.58,,
80,D1692-2021-03-17_23.01.32,,
81,D1693-2021-03-17_23.09.54,,
82,D1694-2021-03-17_23.17.40,,
83,D1828-2021-03-24_16.18.47,,
