,train,val,test
0,D1103-2020-11-16_15.55.08,D1137-2020-11-20_10.37.49,D1021-2020-11-17_16.44.48
1,D1104-2020-11-16_15.47.32,D1138-2020-11-20_10.29.48,D1022-2020-11-17_16.34.38
2,D1105-2020-11-16_15.39.45,D1139-2020-11-20_10.17.03,D1023-2020-11-17_16.22.41
3,D1106-2020-11-16_15.31.14,D1140-2020-11-20_10.04.08,D1024-2020-11-17_16.13.46
4,D1107-2020-11-16_15.21.39,D1167-2021-02-22_19.58.39,D1025-2020-11-17_16.04.37
5,D1108-2020-11-16_15.13.41,D1168-2021-02-22_20.06.31,D1027-2020-11-17_15.47.54
6,D1109-2020-11-16_15.03.14,D1169-2021-02-22_20.15.22,D1028-2020-11-17_15.38.28
7,D1110-2020-11-16_14.54.45,D1170-2021-02-22_20.25.00,D1029-2020-11-17_15.30.08
8,D1111-2020-11-16_14.45.18,D1172-2nd,D1030-2020-11-17_15.22.11
9,D1966-2021-02-17_15.29.58,D1173-2021-02-22_20.42.55,D1031-2020-11-17_15.13.41
10,D1967-2021-02-17_15.37.53,D1174-2021-02-22_20.52.06,D1032-2020-11-17_15.04.59
11,D1968-2021-02-17_15.45.46,D2054-2021-02-22_14.23.55,D1033-2020-11-17_14.57.15
12,D1969-2021-02-18_10.19.55,D2055-2021-02-22_14.32.32,D1034-2020-11-17_14.48.29
13,D1970-2021-02-18_10.28.24,D2056-2021-02-22_14.42.14,D1035-2020-11-17_14.40.02
14,D1971-2021-02-18_10.36.35,D2057-2021-02-22_14.51.06,D1036-2020-11-17_14.29.59
15,D1972-2021-02-18_10.44.37,D2058-2021-02-22_14.59.33,D1037-2020-11-17_14.22.18
16,D2036-2021-02-18_21.29.05,D2059-2021-02-22_15.07.22,D1038-2020-11-17_14.13.00
17,D2037-2021-02-18_21.35.02,D2065-2021-02-22_15.49.31,D1039-2020-11-17_14.03.12
18,D2038-2021-02-18_21.44.20,D1689-2021-03-17_22.36.12,D1040-2020-11-17_13.53.54
19,D2042-2021-02-22_12.45.10,D1690-2021-03-17_22.44.49,D1041-2020-11-17_13.42.54
20,D2044-2021-02-22_13.02.02,D1691-2021-03-17_22.52.58,D1973-2021-02-18_10.52.37
21,D2045-2021-02-22_13.10.00,D1692-2021-03-17_23.01.32,D1974-2021-02-18_11.00.51
22,D2046-2021-02-22_13.18.39,D1693-2021-03-17_23.09.54,D1976-2021-02-18_11.18.41
23,D1176-2021-02-22_21.09.08,D1694-2021-03-17_23.17.40,D1977-2021-02-18_11.28.07
24,D1177-2021-02-22_21.18.36,D1057-2020-11-17_11.23.59,D1978-2021-02-18_11.36.50
25,D1178-2021-02-22_21.27.26,D1058-2020-11-17_11.16.45,D1979-2021-02-18_11.44.42
26,D1179-2021-02-22_21.35.05,D1059-2020-11-17_11.09.04,D1980-2021-02-18_11.53.24
27,D1128-2020-11-20_11.58.14,D1060-2020-11-17_10.57.41,D1981-2021-02-18_12.01.31
28,D1129-2020-11-20_11.48.24,D1061-2020-11-17_10.48.43,D1982-2021-02-18_12.09.34
29,D1130-2020-11-20_11.40.17,D1438-2021-03-11_15.15.54,D1983-2021-02-18_12.19.11
