,train,val,test
0,D1021-2020-11-17_16.44.48,D1565-2021-03-15_20.03.35,D1358-2021-03-05_14.14.42
1,D1023-2020-11-17_16.22.41,D1814-2021-03-24_14.09.46,D1399-2021-03-10_21.24.58
2,D1025-2020-11-17_16.04.37,D1232-2021-03-01_19.13.24,D1725-2021-03-23_18.59.30
3,D1026-2020-11-17_15.56.05,D1553-2021-03-15_17.58.33,D1710-2021-03-18_01.32.36
4,D1027-2020-11-17_15.47.54,D1598-2021-03-16_00.54.48,D1039-2020-11-17_14.03.12
5,D1029-2020-11-17_15.30.08,D1359-2021-03-05_14.23.40,D1704-2021-03-18_00.39.29
6,D1030-2020-11-17_15.22.11,D1278-2021-03-02_01.35.59,D1374-2021-03-10_17.58.18
7,D1031-2020-11-17_15.13.41,D1693-2021-03-17_23.09.54,D1140-2020-11-20_10.04.08
8,D1033-2020-11-17_14.57.15,D1817-2021-03-24_14.44.24,D1701-2021-03-18_00.16.20
9,D1034-2020-11-17_14.48.29,D1167-2021-02-22_19.58.39,D1289-2021-03-02_03.08.50
10,D1035-2020-11-17_14.40.02,D1169-2021-02-22_20.15.22,D1969-2021-02-18_10.19.55
11,D1036-2020-11-17_14.29.59,D1443-2021-03-11_15.50.23,D1442-2021-03-11_11.18.24
12,D1037-2020-11-17_14.22.18,D2046-2021-02-22_13.18.39,D1542-2021-03-15_16.14.41
13,D1038-2020-11-17_14.13.00,D1292-2021-03-02_03.34.10,D1407-2021-03-10_22.33.10
14,D1040-2020-11-17_13.53.54,D1479-2021-03-12_12.00.34,D1981-2021-02-18_12.01.31
15,D1041-2020-11-17_13.42.54,D1057-2020-11-17_11.23.59,D1833-2021-03-24_16.58.06
16,D1051-2020-11-17_12.15.32,D1060-2020-11-17_10.57.41,D1984-2021-02-18_12.27.46
17,D1052-2020-11-17_12.07.07,D1130-2020-11-20_11.40.17,D1022-2020-11-17_16.34.38
18,D1053-2020-11-17_11.58.45,D1795-2021-03-24_00.16.44,D1815-2021-03-24_14.22.57
19,D1054-2020-11-17_11.50.46,D1986-2021-02-18_12.45.16,D1024-2020-11-17_16.13.46
20,D1055-2020-11-17_11.41.54,D1361-2021-03-05_15.17.10,D1320-2021-03-03_14.00.26
21,D1058-2020-11-17_11.16.45,D1280-2021-03-02_01.53.27,D1028-2020-11-17_15.38.28
22,D1061-2020-11-17_10.48.43,D1439-2021-03-11_15.25.27,D1455-2021-03-11_17.33.02
23,D1072-2020-11-16_20.43.17,D1032-2020-11-17_15.04.59,D1971-2021-02-18_10.36.35
24,D1076-2020-11-16_20.08.56,D1348-2021-03-05_12.54.24,D1980-2021-02-18_11.53.24
25,D1080-2020-11-16_19.40.41,D1294-2021-03-02_03.50.19,D1602-2021-03-16_01.24.53
26,D1084-2020-11-16_19.07.28,D1194-2021-02-22_23.44.34,D1299-2021-03-02_04.31.27
27,D1103-2020-11-16_15.55.08,D1561-2021-03-15_19.24.30,D1694-2021-03-17_23.17.40
28,D1104-2020-11-16_15.47.32,D1287-2021-03-02_02.52.23,D1398-2021-03-10_21.16.21
29,D1105-2020-11-16_15.39.45,D1600-2021-03-16_01.11.27,D1400-2021-03-10_21.36.27
30,D1106-2020-11-16_15.31.14,D1436-2021-03-11_14.57.10,D1379-2021-03-10_18.41.27
31,D1107-2020-11-16_15.21.39,D1831-2021-03-24_16.42.30,D1402-2021-03-10_21.54.00
32,D1108-2020-11-16_15.13.41,D1541-2021-03-15_15.09.15,D2045-2021-02-22_13.10.00
33,D1109-2020-11-16_15.03.14,D1972-2021-02-18_10.44.37,D1179-2021-02-22_21.35.05
34,D1110-2020-11-16_14.54.45,D1603-2021-03-16_01.32.23,D1350-2021-03-05_13.11.53
35,D1111-2020-11-16_14.45.18,D1957-2021-02-17_14.11.43,D1073-2020-11-16_20.32.54
36,D1128-2020-11-20_11.58.14,D1463-2021-03-12_09.52.46,D1213-2021-03-01_16.31.04
37,D1129-2020-11-20_11.48.24,D1059-2020-11-17_11.09.04,D1419-2021-03-11_12.29.52
38,D1137-2020-11-20_10.37.49,D1330-2021-03-03_15.47.14,D1416-2021-03-11_12.04.09
39,D1138-2020-11-20_10.29.48,D1369-2021-03-10_17.13.25,D1417-2021-03-11_12.13.36
40,D1139-2020-11-20_10.17.03,D1418-2021-03-11_12.21.33,D1074-2020-11-16_20.24.43
41,D1168-2021-02-22_20.06.31,D1210-2021-02-23_01.52.12,D1077-2020-11-16_20.04.02
42,D1170-2021-02-22_20.25.00,D1446-2021-03-11_16.18.13,D1326-2021-03-03_15.04.15
43,D1172-2nd,,
44,D1173-2021-02-22_20.42.55,,
45,D1174-2021-02-22_20.52.06,,
46,D1176-2021-02-22_21.09.08,,
47,D1177-2021-02-22_21.18.36,,
48,D1178-2021-02-22_21.27.26,,
49,D1190-2021-02-22_23.08.12,,
50,D1191-2021-02-22_23.18.37,,
51,D1192-2nd,,
52,D1193-2021-02-22_23.36.43,,
53,D1195-2nd,,
54,D1197-2021-02-23_00.04.42,,
55,D1198-2021-02-23_00.13.48,,
56,D1205-2021-02-23_01.07.55,,
57,D1206-2021-02-23_01.16.31,,
58,D1207-2021-02-23_01.27.26,,
59,D1208-2021-02-23_01.35.23,,
60,D1209-2021-02-23_01.43.19,,
61,D1233-2021-03-01_19.23.12,,
62,D1234-2021-03-01_19.36.14,,
63,D1235-2021-03-01_16.02.18,,
64,D1242-2021-03-01_20.29.24,,
65,D1243-2021-03-01_20.38.31,,
66,D1244-2021-03-01_20.47.31,,
67,D1245-2021-03-01_20.56.07,,
68,D1247-2021-03-01_21.12.27,,
69,D1249-2021-03-01_21.31.38,,
70,D1250-2021-03-01_21.39.39,,
71,D1251-2021-03-01_21.47.31,,
72,D1252-2021-03-01_21.56.34,,
73,D1253-2021-03-01_22.05.24,,
74,D1254-2021-03-01_22.11.09,,
75,D1256-2021-03-01_22.26.40,,
76,D1259-2021-03-01_22.51.48,,
77,D1261-2021-03-01_23.09.50,,
78,D1262-2021-03-01_23.18.54,,
79,D1271-2021-03-02_00.37.18,,
80,D1272-2021-03-02_00.45.36,,
81,D1274-2021-03-02_01.02.21,,
82,D1275-2021-03-02_01.07.18,,
83,D1276-2021-03-02_01.14.56,,
84,D1277-2021-03-02_01.26.36,,
85,D1279-2021-03-02_01.44.28,,
86,D1282-2021-03-02_02.10.33,,
87,D1283-2021-03-02_02.18.10,,
88,D1284-2021-03-02_02.27.34,,
89,D1285-2021-03-02_02.35.26,,
90,D1286-2021-03-02_02.43.35,,
91,D1288-2021-03-02_03.00.32,,
92,D1293-2021-03-02_03.42.52,,
93,D1295-2021-03-02_03.59.10,,
94,D1297-2021-03-02_04.16.13,,
95,D1311-2021-03-02_06.17.03,,
96,D1312-2021-03-03_12.51.32,,
97,D1315-2021-03-03_13.15.21,,
98,D1321-2021-03-03_14.14.55,,
99,D1322-2021-03-03_14.26.00,,
100,D1323-2021-03-03_14.41.28,,
101,D1324-2021-03-03_14.48.18,,
102,D1328-2021-03-03_15.23.27,,
103,D1329-2021-03-03_15.33.09,,
104,D1331-2021-03-03_15.56.12,,
105,D1333-2021-03-05_10.42.37,,
106,D1335-2021-03-05_10.58.35,,
107,D1344-2021-03-05_12.20.00,,
108,D1345-2021-03-05_12.27.31,,
109,D1346-2021-03-05_12.36.12,,
110,D1347-2021-03-05_12.44.11,,
111,D1349-2021-03-05_13.03.36,,
112,D1351-2021-03-05_13.19.25,,
113,D1352-2021-03-05_13.26.25,,
114,D1353-2021-03-05_13.33.40,,
115,D1354-2021-03-05_13.41.36,,
116,D1355-2021-03-05_13.50.30,,
117,D1356-2021-03-05_13.58.36,,
118,D1357-2021-03-05_14.05.51,,
119,D1360-2021-03-05_15.07.16,,
120,D1362-2021-03-10_16.13.21,,
121,D1366-2021-03-10_16.50.06,,
122,D1368-2021-03-10_17.04.57,,
123,D1370-2021-03-10_17.22.21,,
124,D1371-2021-03-10_17.30.28,,
125,D1372-2021-03-10_17.38.28,,
126,D1373-2021-03-10_17.49.36,,
127,D1376-2021-03-10_18.16.58,,
128,D1377-2021-03-10_18.25.56,,
129,D1378-2021-03-10_18.33.41,,
130,D1396-2021-03-10_20.57.56,,
131,D1397-2021-03-10_21.05.11,,
132,D1401-2021-03-10_21.45.11,,
133,D1403-2021-03-10_22.02.31,,
134,D1404-2021-03-10_22.10.25,,
135,D1405-2021-03-10_22.17.43,,
136,D1406-2021-03-10_22.25.26,,
137,D1408-2021-03-10_22.41.17,,
138,D1409-2021-03-10_22.49.03,,
139,D1410-2021-03-10_22.55.41,,
140,D1411-2021-03-10_23.01.42,,
141,D1422-2021-03-11_12.56.47,,
142,D1423-2021-03-11_13.05.25,,
143,D1434-2021-03-11_14.36.55,,
144,D1435-2021-03-11_14.46.13,,
