,train,val,test
0,D1021-2020-11-17_16.44.48,D1356-2021-03-05_13.58.36,D1195-2nd
1,D1022-2020-11-17_16.34.38,D1039-2020-11-17_14.03.12,D1080-2020-11-16_19.40.41
2,D1023-2020-11-17_16.22.41,D1271-2021-03-02_00.37.18,D1982-2021-02-18_12.09.34
3,D1024-2020-11-17_16.13.46,D1353-2021-03-05_13.33.40,D1250-2021-03-01_21.39.39
4,D1025-2020-11-17_16.04.37,D2036-2021-02-18_21.29.05,D1170-2021-02-22_20.25.00
5,D1026-2020-11-17_15.56.05,D1977-2021-02-18_11.28.07,D1321-2021-03-03_14.14.55
6,D1027-2020-11-17_15.47.54,D1194-2021-02-22_23.44.34,D1140-2020-11-20_10.04.08
7,D1028-2020-11-17_15.38.28,D1709-2021-03-18_01.23.11,D1172-2nd
8,D1029-2020-11-17_15.30.08,D1472-2021-03-12_11.03.48,D1176-2021-02-22_21.09.08
9,D1032-2020-11-17_15.04.59,D1324-2021-03-03_14.48.18,D1286-2021-03-02_02.43.35
10,D1033-2020-11-17_14.57.15,D1283-2021-03-02_02.18.10,D1958-2021-02-17_14.20.10
11,D1037-2020-11-17_14.22.18,D1333-2021-03-05_10.42.37,D1107-2020-11-16_15.21.39
12,D1040-2020-11-17_13.53.54,D1969-2021-02-18_10.19.55,D1289-2021-03-02_03.08.50
13,D1041-2020-11-17_13.42.54,D1038-2020-11-17_14.13.00,D1403-2021-03-10_22.02.31
14,D1051-2020-11-17_12.15.32,D1553-2021-03-15_17.58.33,D1475-2021-03-12_11.27.43
15,D1052-2020-11-17_12.07.07,D1036-2020-11-17_14.29.59,D1209-2021-02-23_01.43.19
16,D1054-2020-11-17_11.50.46,D1434-2021-03-11_14.36.55,D1167-2021-02-22_19.58.39
17,D1055-2020-11-17_11.41.54,D1991-2021-02-18_13.24.41,D1406-2021-03-10_22.25.26
18,D1057-2020-11-17_11.23.59,D1104-2020-11-16_15.47.32,D1192-2nd
19,D1060-2020-11-17_10.57.41,D1802-2021-03-24_01.12.48,D1275-2021-03-02_01.07.18
20,D1061-2020-11-17_10.48.43,D1053-2020-11-17_11.58.45,D1358-2021-03-05_14.14.42
21,D1072-2020-11-16_20.43.17,D1253-2021-03-01_22.05.24,D1398-2021-03-10_21.16.21
22,D1076-2020-11-16_20.08.56,D1689-2021-03-17_22.36.12,D1542-2021-03-15_16.14.41
